<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.22	18:00:00	1.11146	1.11149	1.11050	1.11130	5718	0	10
2024.08.22	19:00:00	1.11130	1.11175	1.11077	1.11105	4502	0	10
2024.08.22	20:00:00	1.11105	1.11107	1.10987	1.11026	3389	0	10
2024.08.22	21:00:00	1.11026	1.11109	1.11026	1.11102	2817	0	10
2024.08.22	22:00:00	1.11101	1.11133	1.11047	1.11084	2820	0	10
2024.08.22	23:00:00	1.11084	1.11127	1.11074	1.11116	1039	0	10
2024.08.23	00:00:00	1.11107	1.11108	1.11083	1.11107	376	0	25
2024.08.23	01:00:00	1.11107	1.11162	1.11102	1.11135	625	0	10
2024.08.23	02:00:00	1.11135	1.11178	1.11135	1.11159	873	0	10
2024.08.23	03:00:00	1.11159	1.11224	1.11129	1.11197	2477	0	10
2024.08.23	04:00:00	1.11196	1.11284	1.11180	1.11274	2647	0	10
2024.08.23	05:00:00	1.11274	1.11286	1.11228	1.11251	1944	0	10
2024.08.23	06:00:00	1.11251	1.11272	1.11231	1.11248	1291	0	10
2024.08.23	07:00:00	1.11248	1.11284	1.11246	1.11277	1037	0	10
2024.08.23	08:00:00	1.11277	1.11287	1.11245	1.11259	1605	0	10
2024.08.23	09:00:00	1.11257	1.11304	1.11201	1.11283	2747	0	10
2024.08.23	10:00:00	1.11283	1.11319	1.11124	1.11192	3699	0	10
2024.08.23	11:00:00	1.11191	1.11238	1.11172	1.11227	3563	0	10
2024.08.23	12:00:00	1.11227	1.11272	1.11166	1.11171	2753	0	10
2024.08.23	13:00:00	1.11171	1.11232	1.11151	1.11195	2693	0	10
2024.08.23	14:00:00	1.11194	1.11210	1.11108	1.11189	2810	0	10
2024.08.23	15:00:00	1.11189	1.11228	1.11110	1.11140	3815	0	10
2024.08.23	16:00:00	1.11141	1.11145	1.11054	1.11144	4391	0	10
2024.08.23	17:00:00	1.11141	1.11847	1.11137	1.11747	15945	0	10
2024.08.23	18:00:00	1.11747	1.11959	1.11735	1.11753	7991	0	10
2024.08.23	19:00:00	1.11753	1.11788	1.11643	1.11738	5342	0	10
2024.08.23	20:00:00	1.11738	1.11975	1.11730	1.11925	3620	0	10
2024.08.23	21:00:00	1.11925	1.12009	1.11855	1.11872	3227	0	10
2024.08.23	22:00:00	1.11872	1.11954	1.11854	1.11911	2023	0	10
2024.08.23	23:00:00	1.11911	1.11943	1.11876	1.11912	1108	0	10
2024.08.26	00:00:00	1.11865	1.11947	1.11862	1.11903	307	0	31
2024.08.26	01:00:00	1.11903	1.11934	1.11862	1.11911	1079	0	10
2024.08.26	02:00:00	1.11913	1.11924	1.11863	1.11893	1525	0	10
2024.08.26	03:00:00	1.11894	1.12015	1.11869	1.11936	2900	0	10
2024.08.26	04:00:00	1.11936	1.12001	1.11871	1.11893	2925	0	10
2024.08.26	05:00:00	1.11893	1.11946	1.11857	1.11868	2199	0	10
2024.08.26	06:00:00	1.11868	1.11887	1.11816	1.11832	2019	0	10
2024.08.26	07:00:00	1.11832	1.11862	1.11820	1.11833	1672	0	10
2024.08.26	08:00:00	1.11832	1.11851	1.11775	1.11791	1684	0	10
2024.08.26	09:00:00	1.11793	1.11892	1.11791	1.11812	3580	0	10
2024.08.26	10:00:00	1.11812	1.11846	1.11756	1.11808	4717	0	10
2024.08.26	11:00:00	1.11805	1.11847	1.11762	1.11803	3338	0	10
2024.08.26	12:00:00	1.11803	1.11826	1.11714	1.11742	2414	0	10
2024.08.26	13:00:00	1.11742	1.11768	1.11690	1.11714	1947	0	10
2024.08.26	14:00:00	1.11715	1.11733	1.11630	1.11652	3445	0	10
2024.08.26	15:00:00	1.11649	1.11685	1.11584	1.11613	5842	0	10
2024.08.26	16:00:00	1.11612	1.11626	1.11500	1.11595	6044	0	10
2024.08.26	17:00:00	1.11595	1.11788	1.11537	1.11765	6084	0	10
2024.08.26	18:00:00	1.11764	1.11767	1.11632	1.11635	3579	0	10
2024.08.26	19:00:00	1.11636	1.11720	1.11594	1.11711	2729	0	10
2024.08.26	20:00:00	1.11711	1.11753	1.11675	1.11695	2878	0	10
2024.08.26	21:00:00	1.11696	1.11710	1.11594	1.11634	2763	0	10
2024.08.26	22:00:00	1.11634	1.11655	1.11585	1.11594	1927	0	10
2024.08.26	23:00:00	1.11594	1.11613	1.11585	1.11605	891	0	10
2024.08.27	00:00:00	1.11602	1.11619	1.11592	1.11603	235	0	26
2024.08.27	01:00:00	1.11603	1.11638	1.11600	1.11626	604	0	11
2024.08.27	02:00:00	1.11626	1.11669	1.11626	1.11644	948	0	10
2024.08.27	03:00:00	1.11644	1.11655	1.11595	1.11608	2150	0	10
2024.08.27	04:00:00	1.11608	1.11706	1.11596	1.11691	2312	0	10
2024.08.27	05:00:00	1.11691	1.11703	1.11640	1.11680	1572	0	10
2024.08.27	06:00:00	1.11681	1.11690	1.11650	1.11666	952	0	10
2024.08.27	07:00:00	1.11666	1.11694	1.11666	1.11682	779	0	10
2024.08.27	08:00:00	1.11682	1.11723	1.11646	1.11667	1272	0	10
2024.08.27	09:00:00	1.11667	1.11713	1.11612	1.11617	2465	0	10
2024.08.27	10:00:00	1.11617	1.11725	1.11616	1.11639	3616	0	10
2024.08.27	11:00:00	1.11639	1.11739	1.11620	1.11666	2564	0	10
2024.08.27	12:00:00	1.11666	1.11786	1.11661	1.11681	2740	0	10
2024.08.27	13:00:00	1.11681	1.11699	1.11617	1.11660	2564	0	10
2024.08.27	14:00:00	1.11660	1.11698	1.11605	1.11605	3449	0	10
2024.08.27	15:00:00	1.11605	1.11647	1.11501	1.11585	5253	0	10
2024.08.27	16:00:00	1.11582	1.11697	1.11526	1.11681	5488	0	10
2024.08.27	17:00:00	1.11678	1.11718	1.11629	1.11661	6053	0	10
2024.08.27	18:00:00	1.11661	1.11699	1.11586	1.11596	3877	0	10
2024.08.27	19:00:00	1.11596	1.11676	1.11595	1.11656	2396	0	10
2024.08.27	20:00:00	1.11656	1.11824	1.11642	1.11813	2343	0	10
2024.08.27	21:00:00	1.11811	1.11904	1.11799	1.11857	2271	0	10
2024.08.27	22:00:00	1.11857	1.11857	1.11812	1.11841	1678	0	10
2024.08.27	23:00:00	1.11841	1.11857	1.11826	1.11837	615	0	10
2024.08.28	00:00:00	1.11830	1.11844	1.11787	1.11825	247	0	31
2024.08.28	01:00:00	1.11827	1.11848	1.11826	1.11837	476	0	10
2024.08.28	02:00:00	1.11838	1.11845	1.11746	1.11769	655	0	10
2024.08.28	03:00:00	1.11769	1.11798	1.11744	1.11797	1287	0	10
2024.08.28	04:00:00	1.11796	1.11797	1.11719	1.11737	1669	0	10
2024.08.28	05:00:00	1.11737	1.11776	1.11665	1.11665	1325	0	10
2024.08.28	06:00:00	1.11665	1.11690	1.11622	1.11656	953	0	10
2024.08.28	07:00:00	1.11656	1.11678	1.11581	1.11594	839	0	10
2024.08.28	08:00:00	1.11594	1.11606	1.11396	1.11436	2233	0	10
2024.08.28	09:00:00	1.11437	1.11512	1.11349	1.11477	2777	0	10
2024.08.28	10:00:00	1.11478	1.11590	1.11478	1.11562	3640	0	10
2024.08.28	11:00:00	1.11561	1.11593	1.11389	1.11412	4343	0	10
2024.08.28	12:00:00	1.11412	1.11455	1.11330	1.11356	4228	0	10
2024.08.28	13:00:00	1.11358	1.11375	1.11220	1.11252	3818	0	10
2024.08.28	14:00:00	1.11252	1.11309	1.11174	1.11205	3312	0	10
2024.08.28	15:00:00	1.11206	1.11229	1.11049	1.11118	4918	0	10
2024.08.28	16:00:00	1.11118	1.11219	1.11104	1.11112	6415	0	10
2024.08.28	17:00:00	1.11112	1.11376	1.11107	1.11301	7362	0	10
2024.08.28	18:00:00	1.11300	1.11312	1.11212	1.11260	5623	0	10
2024.08.28	19:00:00	1.11259	1.11262	1.11101	1.11146	4202	0	10
